2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:30 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:31 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:35 - Gefundene Übereinstimmung: 123454444, Score: 0.96
2025-04-03 11:11:47 - [INFO] Funktion 5 erkannt: Beenden
2025-04-03 16:49:52 - [INFO] Facescan gestartet
2025-04-03 16:49:52 - [INFO] Webcam gefunden
2025-04-03 16:49:58 - [INFO] Funktion 1 erkannt: zeige_webcam_fuer_upruefung
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:49:59 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:00 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:01 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:02 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:03 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:04 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
